,Unnamed: 0,Province,GDP ranking ,Year  ,GDP (x10^12CNY),population (x10^7 person),fixed assets investment (x10^12 CNY),total imports and exports (x10^8CNY),fiscal expenditure(x10^12CNY),urban disposal income per capita (x10^4CNY)
0,0,Guangdong,First,2000,1.074125,8.65,0.314513,1.40814657,0.108032,0.976157
1,1,Guangdong,First,2001,1.203925,8.733,0.348443,14.609701,0.132133,1.041519
2,2,Guangdong,First,2002,1.350242,8.842,0.385078,1.83016893,0.152108,1.11372
3,3,Guangdong,First,2003,1.584464,8.963,0.48132,2.34673452,0.169563,1.238043
4,4,Guangdong,First,2004,1.886462,,0.587002,2.95589873,0.185295,1.362765
5,5,Guangdong,First,2005,2.255737,9.194,0.697793,3.50576062,0.228907,1.476994
6,6,Guangdong,First,2006,2.658776,9.442,0.797337,4.20272575,0.255334,1.601558
7,7,Guangdong,First,2007,3.177701,9.66,0.929426,4.82234999,0.315957,1.76993
8,8,Guangdong,First,2008,3.679671,9.893,1.086867,4.7571768,0.377857,1.973286
9,9,Guangdong,First,2009,3.948256,10.13,1.293312,4.17438345,0.433437,2.157472
10,10,Guangdong,First,2010,4.601306,10.441,1.56237,5.31335431,0.542154,2.38978
11,11,Guangdong,First,2011,5.321028,10.505,1.70692,5.8999028,0.67124,2.689748
12,12,Guangdong,First,2012,5.706792,10.594,1.87515,6.21162915,0.738786,3.022671
13,13,Guangdong,First,2013,6.247479,10.644,2.230839,6.76038032,0.8411,2.953729
14,14,Guangdong,First,2014,6.780985,10.724,2.629393,6.61324308,0.915264,3.214811
15,15,Guangdong,First,2015,7.281255,10.849,3.034303,6.36851209,1.28278,3.475716
16,16,Guangdong,First,2016,8.085491,10.999,3.330364,6.31005168,1.344609,3.768425
17,17,Guangdong,First,2017,8.970523,9.442,3.77617,6.81688,1.503748,4.09751
18,18,Guangdong,First,2018,9.727777,9.66,3.77712,7.16021,1.572926,4.4341
19,19,Jiangsu,Second,2000,0.855369,7.327,0.256997,0.37779604,0.059128,0.680023
20,20,Jiangsu,Second,2001,0.945684,7.359,0.28232,0.42506759,0.072964,0.73751
21,21,Jiangsu,Second,2002,1.060685,7.406,0.345012,0.58182745,0.086025,0.817764
22,22,Jiangsu,Second,2003,1.244287,7.458,0.5233,0.94041122,0.104768,0.926246
23,23,Jiangsu,Second,2004,1.50036,,0.655705,1.41408306,0.131204,1.048193
24,24,Jiangsu,Second,2005,1.859869,7.588,0.816538,1.86707489,0.16734,1.231857
25,25,Jiangsu,Second,2006,2.174205,7.656,1.006922,2.26381888,0.201325,1.408426
26,26,Jiangsu,Second,2007,2.601848,7.723,1.226806,2.65738346,0.255372,1.637801
27,27,Jiangsu,Second,2008,3.098198,7.762,1.530055,2.72436778,0.324749,1.867952
28,28,Jiangsu,Second,2009,3.44573,7.81,1.894987,2.31393091,0.401736,2.055172
29,29,Jiangsu,Second,2010,4.142548,7.869,2.318428,3.15322605,0.491406,2.294426
30,30,Jiangsu,Second,2011,4.911027,7.899,2.669262,3.48504508,0.622172,2.634073
31,31,Jiangsu,Second,2012,5.405822,7.92,3.08542,3.45900691,0.702767,2.967697
32,32,Jiangsu,Second,2013,5.975337,7.939,3.637332,3.41122862,0.779847,3.158548
33,33,Jiangsu,Second,2014,6.508832,7.96,4.193862,3.46179386,0.847245,3.434626
34,34,Jiangsu,Second,2015,7.011638,7.976,4.624687,3.39796871,0.968758,3.717348
35,35,Jiangsu,Second,2016,7.738828,7.999,4.966321,3.36143161,0.998196,4.015159
36,36,Jiangsu,Second,2017,8.586976,7.656,5.3277,3.99975,1.062103,4.36218
37,37,Jiangsu,Second,2018,9.25954,7.723,5.32768,4.37935,1.165735,4.72
38,38,Shandong,Third,2000,0.833747,8.998,0.25311,0.20687523,0.061308,0.648997
39,39,Shandong,Third,2001,0.919504,9.041,0.278868,0.23967013,0.075378,0.710108
40,40,Shandong,Third,2002,1.02755,9.082,0.348331,0.28089945,0.086065,0.761436
41,41,Shandong,Third,2003,1.207815,9.125,0.531514,0.36945896,0.101064,0.839991
42,42,Shandong,Third,2004,1.502184,9.18,0.697062,0.50205597,0.118937,0.94378
43,43,Shandong,Third,2005,1.836687,9.248,0.93073,0.62859724,0.146623,1.074479
44,44,Shandong,Third,2006,2.190019,9.309,1.111142,0.75902549,0.183344,1.219224
45,45,Shandong,Third,2007,2.577691,9.367,1.25377,0.93129566,0.226185,1.42647
46,46,Shandong,Third,2008,3.093328,9.417,1.543593,1.100156,0.270466,1.630541
47,47,Shandong,Third,2009,3.389665,9.47,1.903453,0.94987356,0.326767,1.781104
48,48,Shandong,Third,2010,3.916992,9.588,2.328052,1.28049352,0.414503,1.994583
49,49,Shandong,Third,2011,4.536185,9.637,2.674968,1.52354099,0.500207,2.279184
